rgm_ppg,n_weeks,avg_weekly_sales,avg_weekly_units,avg_acv,sales_cv,is_new,is_delisted,recent_avg_sales,growth_rate,acv_trend,momentum,mat_growth,seasonality_index,promo_week_share,promo_sales_share,promo_acv_share,promo_lift,promo_visibility_share,price_elasticity,promo_effect_ctrl,avg_price,n_retailers,promo_lift_retailer_cv,acv_retailer_cv,price_elasticity_missing,promo_effect_ctrl_missing,promo_lift_missing,momentum_missing,seasonality_index_missing,promo_visibility_share_missing,mat_growth_missing,promo_lift_retailer_cv_missing,acv_retailer_cv_missing,is_own_manufacturer,subcategory_nm,brand_nm,price_tier,form,benefit_type,product_unit_size,product_pack_size,product_pack_count,product_is_multipack,promo_intensity_effect,dist_trend,peer_correlation_missing,peer_correlation,substitute_correlation_missing,substitute_correlation
PPG_ATTR1_060EEA37 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_026710C4 | PPG_ATTR4_AE186179 | PPG_ATTR5_EB6411FA | PPG_ATTR6_92B72C5A | PPG_ATTR7_164D04A0 | PPG_ATTR8_815FCC11 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,92,2227.2266304347827,2118.521739130435,6.293861956521739,0.5160316162933668,0,0,3158.4775000000004,0.017398397165994547,0.07084104773207156,1.0535691849249194,1.0535691849249194,0.9437037852894239,0.717391304347826,0.43876296003033405,0.43504473382798314,2.056045473483021,0.3204234696385776,0.353959689020728,0.15923048979718593,1.004763131616648,2,0.039607235952108126,1.1472874980034191,0,0,0,0,0,0,1,0,0,NO,DETERGENT,HASH_026710C4,OTHERS,TABLETS,MULTI BENEFIT,30,30,1,0,0.8014134302517394,0.1085614275475843,1,0.2481722175052244,0,-0.2585196398195791
PPG_ATTR1_28072FCD | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_3450565E | PPG_ATTR4_AE186179 | PPG_ATTR5_5DB9E3DC | PPG_ATTR6_92B72C5A | PPG_ATTR7_A87D5006 | PPG_ATTR8_85054D9E | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,32,276.426875,359.1875,0.349015625,1.9151676565501359,0,1,0.48833333333333334,-0.24363518006209198,-0.04948066348973606,0.12208333333333334,0.12208333333333334,5.280545845091185,0.125,0.039392581216855696,0.027385814068907062,12.516626427035987,0.0,0.03488723449312214,0.06789243241780141,0.730734230763656,1,0.0,0.0,0,0,0,0,0,0,1,1,1,NO,DETERGENT,HASH_3450565E,OTHERS,TABLETS,MULTI BENEFIT,24,24,1,0,0.3254900643563566,-0.07609890885869702,1,0.2481722175052244,0,-0.45064609573916536
PPG_ATTR1_4CE7686A | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_16B57C4F | PPG_ATTR4_AE186179 | PPG_ATTR5_16B57C4F | PPG_ATTR6_92B72C5A | PPG_ATTR7_A87D5006 | PPG_ATTR8_8FD1F319 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,157,388.40656050955414,1036.7388535031846,0.8465140127388535,0.8129042290230528,0,0,479.84999999999997,0.018316377338347456,0.010191131488039499,0.9634268562221527,1.5380774814715796,0.633872686305157,0.34394904458598724,0.1742962384429195,0.1526602070514026,2.5938355916794613,0.0,0.03120889338802646,0.018478134686421677,0.36354838477015744,1,0.0,0.0,0,0,0,0,0,0,0,1,1,NO,DETERGENT,HASH_16B57C4F,OTHERS,TABLETS,MONOBENEFIT,26,26,1,0,0.439986511293843,0.015364782177026077,0,0.8337015684608481,0,-0.1036598886530594
PPG_ATTR1_4CE7686A | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_16B57C4F | PPG_ATTR4_AE186179 | PPG_ATTR5_EBBB8723 | PPG_ATTR6_92B72C5A | PPG_ATTR7_A87D5006 | PPG_ATTR8_7FE34FAD | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,157,1935.6675796178345,1137.6942675159235,1.7611547770700637,0.5262048300625862,0,0,2915.7383333333332,0.011945634726399314,0.009271523018624531,1.0663937861260664,1.4802151973057243,0.6136281398689581,0.7261146496815286,0.2926513032379491,0.2770145337544246,2.2314616481675396,0.0,0.09880183948997368,0.004022112121466054,1.6521539848362843,1,0.0,0.0,0,0,0,0,0,0,0,1,1,NO,DETERGENT,HASH_16B57C4F,OTHERS,TABLETS,MONOBENEFIT,70,70,1,0,0.851684965339933,0.020913446684380017,0,0.8337015684608481,0,-0.14081037627046086
PPG_ATTR1_7FC8EF04 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_7FC8EF04 | PPG_ATTR4_4FD27A4E | PPG_ATTR5_7FC8EF04 | PPG_ATTR6_5918E248 | PPG_ATTR7_A87D5006 | PPG_ATTR8_83F5974E | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,157,95306.12072229298,43674.269105732485,68.31784325902335,0.13672943460928424,0,0,94780.05987500002,0.0015366569166857895,0.019886689453751053,0.9113594734106111,0.94844594826483,0.26266529280029427,0.9617834394904459,0.0683639371102269,0.04761887525993257,1.063928238948915,0.284972764900025,2.610599020055055,0.05916311920269335,2.178401406450008,6,0.06364402830779917,0.48138273111641855,0,0,0,0,0,0,0,0,0,NO,CLEANER,HASH_7FC8EF04,CLASSIC,LIQUID,MONOBENEFIT,250,250,1,0,0.6969189359148554,0.10490050895678758,0,0.7824647977693185,0,0.6681347552031359
PPG_ATTR1_7FC8EF04 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_7FC8EF04 | PPG_ATTR4_5C2AE06E | PPG_ATTR5_7FC8EF04 | PPG_ATTR6_7410C119 | PPG_ATTR7_164D04A0 | PPG_ATTR8_E7C18669 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,157,8861.390807006368,8148.025477707007,49.25746698513801,0.1935722959630349,0,0,10135.519166666667,0.0025760334078220805,0.1184324480533038,0.8230072261502869,1.140891312864711,0.47560477559538045,0.7133757961783439,0.061492571332271054,0.05408784290981913,1.1473417333127112,0.2235534463076539,0.31324747887583243,0.07185126195818392,1.0832265900636888,3,0.20084498672904455,0.18487605359236833,0,0,0,0,0,0,0,0,0,NO,FRESHENER,HASH_7FC8EF04,CLASSIC,GEL,MONOBENEFIT,6,6,1,0,0.5451836655659487,0.12672572567558604,0,0.9182301973406963,0,0.5806044559803504
PPG_ATTR1_7FC8EF04 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_7FC8EF04 | PPG_ATTR4_5C2AE06E | PPG_ATTR5_7FC8EF04 | PPG_ATTR6_7410C119 | PPG_ATTR7_42E7BE8A | PPG_ATTR8_D2D8BAC9 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,157,305.37297197452233,890.6034394904458,10.052077707006369,2.696758921751663,0,0,1.2208333333333334,-0.04418362106717884,-0.33043663660776873,0.9227416449365734,0.5371834853388251,3.310697206641072,0.14012738853503184,0.11392004515333126,0.12049998711576138,5.121266399560781,0.11875017573111012,0.15428967008963956,-0.08448095649227143,0.17406187322324274,1,0.0,0.0,0,0,0,0,0,0,0,1,1,NO,FRESHENER,HASH_7FC8EF04,CLASSIC,GEL,MONOBENEFIT,5,5,1,0,0.25387845904018197,-0.43460516064708427,0,-0.6826344696654599,1,0.090839863111425
PPG_ATTR1_7FC8EF04 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_7FC8EF04 | PPG_ATTR4_8C4F4370 | PPG_ATTR5_7FC8EF04 | PPG_ATTR6_BF03469B | PPG_ATTR7_A87D5006 | PPG_ATTR8_500D2BD3 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,157,13482.05755732484,8291.086631847133,37.92343757961783,0.8389794587401039,0,0,19178.085000000003,-0.009136539183554912,0.33439029476429405,1.0903262730152838,69.34750603754507,0.5010766268483744,0.29936305732484075,0.04624757542170732,0.05096338547025775,1.7338614236102778,0.14928310629364658,0.3322758981862955,0.2551387168311631,1.2084473857288316,2,0.5267171141831243,1.4103856758806963,0,0,0,0,0,0,0,0,0,NO,SALT,HASH_7FC8EF04,CLASSIC,GRAN,MONOBENEFIT,2000,2000,1,0,0.30107393237531266,-0.3449156940052748,0,0.12076273673326536,0,-0.5563811815037764
PPG_ATTR1_7FC8EF04 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_7FC8EF04 | PPG_ATTR4_8C4F4370 | PPG_ATTR5_7FC8EF04 | PPG_ATTR6_BF03469B | PPG_ATTR7_A87D5006 | PPG_ATTR8_8F4004C8 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,157,113109.1816624204,38133.94267515923,44.872794585987265,0.20286555953009722,0,0,110262.50166666665,-0.001416039771090134,0.11569525347465555,1.0410418560110768,1.0107411226279568,0.29801484461261074,0.3503184713375796,0.05237389199352721,0.05259549791880825,0.9907219717139863,0.16070356235006358,-0.25083131988111873,-0.02706512731907712,2.9887757800529435,2,1.1810056028296114,1.3865065074142162,0,0,0,0,0,0,0,0,0,NO,SALT,HASH_7FC8EF04,CLASSIC,GRAN,MONOBENEFIT,3000,3000,1,0,0.241193347158087,-0.06349671543914802,0,0.94261760183466,1,0.090839863111425
PPG_ATTR1_7FC8EF04 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_7FC8EF04 | PPG_ATTR4_8C4F4370 | PPG_ATTR5_7FC8EF04 | PPG_ATTR6_BF03469B | PPG_ATTR7_A87D5006 | PPG_ATTR8_BCE14A93 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,157,61859.9140044586,43739.739044585986,57.066251857749464,0.2366840890631716,0,0,76870.48156666667,0.004307215019526231,0.0814684752654962,1.1609921731141468,1.0444331715622115,0.2324668225280218,0.6624203821656051,0.04361024772190553,0.04513642332392945,1.1527178120672534,0.30521505658544656,1.5733349502072338,0.17274530367862684,1.414193673808987,4,0.21766140444421445,0.619829345710144,0,0,0,0,0,0,0,0,0,NO,SALT,HASH_7FC8EF04,CLASSIC,GRAN,MONOBENEFIT,1000,1000,1,0,0.507898336416895,0.24526878279044395,0,0.7777694908352255,0,0.7558516547653843
PPG_ATTR1_7FC8EF04 | PPG_ATTR2_2BEF0FAC | PPG_ATTR3_7FC8EF04 | PPG_ATTR4_A20E9B75 | PPG_ATTR5_7FC8EF04 | PPG_ATTR6_5918E248 | PPG_ATTR7_164D04A0 | PPG_ATTR8_12E2FBC2 | PPG_ATTR9_C4CA4238 | PPG_ATTR12_2BEF0FAC,157,164429.58874585986,84012.44481082803,60.0502349522293,0.1097839383835085,0,0,150347.86140833332,0.0002840557066489818,0.08895959774775339,1.0258542520614051,0.9062095431290305,0.10841921343403316,0.9426751592356688,0.0828837914201867,0.07832664226356911,0.9853642465921006,0.33212393224475484,0.5835753899695172,0.0013007626170365993,1.9543298990195033,4,0.042823607742233594,0.6629154312007223,0,0,0,0,0,0,0,0,0,NO,RINSE AID,HASH_7FC8EF04,CLASSIC,LIQUID,MONOBENEFIT,400,400,1,0,0.6464888836526956,0.017055189726470292,0,0.8614275316442956,0,0.27563303289785984
